team_name_fran,team_name_bp,location_team_abbrv
Arizona Diamondbacks,Arizona Diamondbacks,ARI
Atlanta Braves,Atlanta Braves,ATL
Baltimore Orioles,Baltimore Orioles,BAL
Boston Red Sox,Boston Red Sox,BOS
Chicago Cubs,Chicago Cubs,CHC
Chicago White Sox,Chicago White Sox,CHW
Cincinnati Reds,Cincinnati Reds,CIN
Cleveland Indians,Cleveland Indians,CLE
Colorado Rockies,Colorado Rockies,COL
Detroit Tigers,Detroit Tigers,DET
Houston Astros,Houston Astros,HOU
Kansas City Royals,Kansas City Royals,KCR
Los Angeles Angels of Anaheim,Los Angeles Angels,LAA
Los Angeles Dodgers,Los Angeles Dodgers,LAD
Miami Marlins,Miami Marlins,MIA
Milwaukee Brewers,Milwaukee Brewers,MIL
Minnesota Twins,Minnesota Twins,MIN
New York Mets,New York Mets,NYM
New York Yankees,New York Yankees,NYY
Oakland Athletics,Oakland Athletics,OAK
Philadelphia Phillies,Philadelphia Phillies,PHI
Pittsburgh Pirates,Pittsburgh Pirates,PIT
San Diego Padres,San Diego Padres,SDP
San Francisco Giants,San Francisco Giants,SFG
Seattle Mariners,Seattle Mariners,SEA
St. Louis Cardinals,St. Louis Cardinals,STL
Tampa Bay Rays,Tampa Bay Rays,TBR
Texas Rangers,Texas Rangers,TEX
Toronto Blue Jays,Toronto Blue Jays,TOR
Washington Nationals,Washington Nationals,WSN
